Ids,Sentiment,Sarcasm,Vulgar,Abuse,Target,OCR
Hindi_image_1.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender,Kitni push ups maar sakte ho daily 5 aur agar tum niche ho to 50 Hattt kamina
Hindi_image_100.jpg,Neutral,Sarcastic,Vulgar,Abusive,Gender,एक आदमी अपने पड़ोसी को चिड़ाने के लिये किसी बात पे बोला यार तेरी शक्ल तो बिल्कुल मेरे लौडे जैसी है पड़ोसी भी बाबा सैक्सीदास का भक्त जवाब तुरंत जवाब दिया पड़ोसी तभी मैं सोचु भाभी मुझे देखते ही अपनी टार्गें क्यों फैला लेती है
Hindi_image_1000.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Individual,Sapna Wo Nal Jo sote waqt dekha Sapna Wbo he Jo Raat Ko tumhe Sone
Hindi_image_1001.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Individual,चाकू खरबूजे पर या खरबूजा चाकू कटेगा तो तेरा ह
Hindi_image_1003.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None,samunder kinaare baithe raho lehare kabhi na kabhi zaroor aayegi  Kismat badle ya na badle g@@nd zaroor dhul jaayegi
Hindi_image_1007.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,National Origin,There is a Group of Pakistani Scientists who claims that Earth is Flat and they also challenged NASA to prove that Earth is Round NASA had never responded them Gaand ka ilaj ho sakta hai gaandu ka nahi
Hindi_image_1010.jpg,Positive,Non-Sarcastic,Non Vulgar,Non-abusive,None,Karnataka CM's Kumarswami's Wife Sahi Khel gya Bencho
Hindi_image_1011.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Political,Dear Haha Reactors | Love You milo Kabhi Chai Paani Peete hai!
Hindi_image_1015.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None,Chunautiyo se bacha jaa sakta hai  lekin chutiyo se nahi
Hindi_image_1016.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,None,ISKA MATLAB SAMJHE DAYA?
Hindi_image_1017.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None,ZINDGI ME3 CHEEJE HAMESHA AATI RAHEGI TATTI CHUNAUTI OR CHUTIYE
Hindi_image_1018.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None,Exactly 10A.M aaj mera breakup hogya suna yaha kisi ka breakup hogaya hai aur wo bahot takleef ma hai
Hindi_image_1019.jpg,Negative,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,Show me the Biggest Toofan I said the Biggest perfect
Hindi_image_1021.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,Others,During Viva Teacher Naam kya he tera? Me Bhul gya Saab
Hindi_image_1024.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,Exactly 10A.M Aaj Mera Breakup Hogya ता बहिनचोद हम का करे
Hindi_image_1025.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,BB fan Neem ka patta kadwa hai mr hola bhadwa hai
Hindi_image_1026.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Social Sub-groups,bhanje tujhe pata he chutiya kise kehte he jo log avengers game ke spoilers de rahe unko
Hindi_image_103.jpg,Neutral,Sarcastic,Vulgar,Non-abusive,Gender,दो चीज़ें सबको भाती हैं बात ऊंची ऊंची और बड़ी बड़ी  चूची
Hindi_image_1030.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,यवारिशीहतार
Hindi_image_1031.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,None,NA
Hindi_image_1032.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Others,Ye Jo log Avenger Game Ke spoilers d unki shakal unke b Jyada unke padc milti he
Hindi_image_1034.jpg,Positive,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,"Moment hai bhai, Moment hai."
Hindi_image_1037.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,Everyone Is A Gangster Until The Real Gangster Walks ID
Hindi_image_104.jpg,Positive,Sarcastic,Vulgar,Non-abusive,Gender,"औरत डॉक्टर से थकान बहुत होती डॉक्टरः- सेक्स कितना करती हो ? औरतः रोज डॉक्टरः- SUNDAY मत करो औरतः- हाय दईया... SUNDAY ही तो पति घर होते है, उन्हे कैसे मना करूँ? "
Hindi_image_1041.jpg,Negative,Non-Sarcastic,Vulgar,Non-abusive,None,அறிவடு வில்வடி ஜ்வ் ஐம எஸலா்
Hindi_image_1044.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,None,"PAR
Maak

Angry

Master"
Hindi_image_1045.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,"Bsdiwaalo
Mari to mai"
Hindi_image_1047.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Others,"Don't Cry Babe,
It's Just A Movie.

After Watching Endgame

Ab Bol.
Ab Bol Na Mc ...

u Sonu Sheikh and 25 others
Vijay Thakur O
Abe Bhosdiwalo Endgame Ka pirated
version dekhte ho"
Hindi_image_105.jpg,Neutral,Sarcastic,Vulgar,Non-abusive,Individual,Tmm Uske Pass Wapas Kyu Gyi ?? Dil Dick Dick Krne Laga Tha..
Hindi_image_1052.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,None,छ par badi ई ki matra छी
Hindi_image_1054.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,None,mood thora sa acha he thori der ke liye ijjat se pesh aa skta hu
Hindi_image_1057.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,None,"Allah Maaf Kare, Bade
Hi Manhoos Lagre Ho"
Hindi_image_1058.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None,मुझे वो पसंद है @samosahoonbhay और उसे Pura mohalla
Hindi_image_1059.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,5e8< Jab fak body ki Tum subah kab haddiya २०७ se wapas uthtebo? २०६ na ho jaye Pok Matlab? Kuch nahi Are..
Hindi_image_106.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,Gender,"Tum subah kab uthte ho?

Jab tak body ki haddiya 207 se wapas 206 na ho jaye

Matlab? 😶

Are.. Kuch nahi"
Hindi_image_1060.jpg,Negative,Non-Sarcastic,Vulgar,Non-abusive,Individual,"Sunlo hum tumhara
ramote control plane
Lono aayo ho or hum
leko jaayege

dlan
le Jao bas Nobita KI
Leno me tumhara

ham mana kab kiyo ho"
Hindi_image_1062.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,None,"Na jane log Zindgi bhar
Yaadon k saath kese
Jee jate hain ???

wah wah

Hum to ek chapter yaad
kr ke sotey hain,
Subah wo bhi bhool
jate hain

...

ratta mat Igaya kr nikammmyyyy"
Hindi_image_1069.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Political,"अपने मोटापे से बहुत परेशान था यह मेरे दुःख का कारण था
की तभी मेने चुनी कांग्रेस की सरकार

खाने के लाले पड गये मै पतला हो गया
थैंक यू कांग्रैस

और"
Hindi_image_1071.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"LAUGH RIOT

(HASYA DANGA)"
Hindi_image_1072.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"बेटी तेरा पोस्ट पढ़कर
आजादी के बाद पहली
बार सर्मिदा हुआ हूं।
तेरा बापू"
Hindi_image_1073.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"ek bar toh humne school me pankha mod diya.
kyun mod diya hume nehi pata"
Hindi_image_1078.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,None,Mera Bucky Unotiicial Tto Mama J० Na nache Mera Ghoda Behanka (oda
Hindi_image_1079.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Social Sub-groups,GIRL Ghnost In Beal Life
Hindi_image_1085.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"Iski mosi ka aalu ka Paratha

Aaj toh isse kalesh hi nahi kara"
Hindi_image_1086.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,National Origin,"Only love react if you are jio user

Jio

16

5h
Like Reply

Vijay Thakur
Mukesh Ambani Abe Bsdk
network nahi aata thik se.
Jaldi theek karwa
2h
Like Reply

1

Mukesh Ambani
To idea le na, Me khud idea
use krta hu
2h"
Hindi_image_1088.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,"मुझे
फिर से
PM
बनाओगे
?

चूतिया
लिखा है इधर
?"
Hindi_image_1089.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Individual,"DOCTOR KO ISS BAAT KI
BHANAK TAK NAHI THI KI
USKA KHUDKA ILAAJ HONE
WALA HAI"
Hindi_image_109.jpg,Neutral,Non-Sarcastic,Vulgar,Non-abusive,Gender,"लोग कहते है सुबह सवेरे खुशी
हंसी बिस्तर से उठना चाहिए

Hindi

बहनचोद यहाँ तो सुबह उठते ही पहली
चिंता ये होती है

Von

कि लण्ड महाराज सोये तो हम उठ के
कमरे से बाहर निकले"
Hindi_image_1090.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual,Abew eeno bsdk ye kta N dlp
Hindi_image_1092.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,"Moment hai bhai, Moment hai."
Hindi_image_1093.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,"Wabc
Jan kia kar rhi
ho
Options Clear"
Hindi_image_1094.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"*Robbery at mall*
*In PVR*Police- kitne ka nuksaan huya?
Manager- Kareeb 2 lakhs ka ..

Police- kya kya leke gaye chor?
Manager- 2 large Coke, 2 regular
salted popcorns,
hotdog.

"
Hindi_image_1095.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Individual,When you watch Porn Video after masterburate
Hindi_image_1099.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,None,रहण दे बस
Hindi_image_110.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,Others,"कल मेरी वाली की
शादी थी,

परसो मुझसे बोली
मेरी शादी मे डी जे पर क्या
बजाओगे?

मै बोला तेरी Call
recording"
Hindi_image_1100.jpg,Positive,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,"hii
7:42 PM
i love you

7:42 PM

अद्भुत
अविश्वसनीय
अकल्पनीय"
Hindi_image_1103.jpg,Neutral,Non-Sarcastic,Vulgar,Non-abusive,None,Uatch till the end
Hindi_image_1106.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,E = x Acceler
Hindi_image_1107.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,"Bhanje Tujhe pata he Chutiya kise kehte he

Jo log Avengers End Game Ke spoilers de Rahe unko

Unko to ""Madarchod"" kehte he"
Hindi_image_1108.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,None,"13 Saal Pehle SAMOSA 60 Paisey ka tha aur Phone Call 8 Rs. Ki  
Ab Phone Call 60 Paisey Ki Hai aur Samosa 8 Rs. Ka  
MORAL :- Mehngayi barhi nahin hai. Bas idhar udhar hogayi hai"
Hindi_image_111.jpg,Neutral,Sarcastic,Vulgar,Non-abusive,Gender,"गर्लफ्रेंड में अपनी जिंदगी में कोई लंबा हाथ मारना चाहती हूँ  
परंतु: प्रॉब्लम ये सिर्फ हाथ मारे, लंबा तो अपने आप ही जायेगा"
Hindi_image_1111.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,"*Bunty Tera saabun
slow hai kya?

Aye apna kaam
karna madharchod"
Hindi_image_1112.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,None,"अ
Pan"
Hindi_image_1115.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Others,After watching scared games seasson 2Hame bhi Guru Ji Ka pyaar Chahiye
Hindi_image_1116.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,Some Of The Biggest Drug Dealers Of All Time
Hindi_image_1117.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,"Jaydev Unadkad After
the Match winning spell

Le KKR fans

carefully, he's a hero"
Hindi_image_112.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,None,"Uncle sBeta Shadi Karlo"" Me : cUncle Galat Samajh Rahe Ho Ye Haatho Me Chhale Gym Jane Se Hue 0[1700: ० ]8 %) 700 Aap"
Hindi_image_1121.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Individual,Elk Dosi aisa bhi कैंसर हुआ तो सिगरेट पीना सिखाने वाले दोस्त की गोली मारकर हत्या 7 7 71'777 [7@3
Hindi_image_1122.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None,bokachoda
Hindi_image_1123.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual,"Prostitutes Suffering from AIDS be like Mujhe ulz kar jo tum jaoge Bada
pachtaoge ! Bada pachtaoge."
Hindi_image_1125.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"Show me best
teacher

I said the best"
Hindi_image_1127.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,"Inka koi galti nahi hai, THIK HAI? "
Hindi_image_1129.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"*When a girl reacts to my meme .*

Me:

Pandit ko bula le

Main shaadi karega."
Hindi_image_1130.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Individual,"Show me the Biggest Toofan SK tacicil Isaid the Biggest COव""[[ Jale Perfect"
Hindi_image_1131.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,None,"इतना मानसिक
तनाव bc"
Hindi_image_1134.jpg,Negative,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,"Mai aapse khana
khake baat kruga"
Hindi_image_1136.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Individual,"Akele rahe,

Mujh jesy toxic

se dur rahe
aur khush rahe"
Hindi_image_1138.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,"Thor i told you, die for that Thanos - You should ve gone for the head. Saia I87 Ihen Siate] Mehnat Barbaad Beharch#d you d Snap"
Hindi_image_1139.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"Dad To Me- Tumhe Jo Facility Mil Rahi Hai,
Mujhe Milti Toh Main Top Karta!

Dada Ji-"
Hindi_image_1141.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,"दीया
और बाती
हम

DIYA AUR BATI HUM

Backchod Billi

SASUR KE NATI TUM BC"
Hindi_image_1145.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,"idk how to flirt i done
called this bitch teri jesi
kutiya ko
to kbhi
text na
kru m"
Hindi_image_1147.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,"STATION JAYEGA?

Haan Jayega Na Sahab

TO JA BC
YAHA KYU KHADA HAI"
Hindi_image_1148.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,Kisne Touch kiya usko Maderch#d
Hindi_image_1149.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,"बहती है नदी,
गिरता है झरना
ए मादरचोद

बापू केवय oapu ke vachan
-Mahatma Gandhi

अपना काम कर ना"
